trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,0,-47.33920681834276,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,2,-33.097333146621665,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,0,-19.808760504760464,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,0,-62.64995611710788,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,6,11.547473918303869,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,1,-15.698590743687511,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,0,32.41918621903597,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",30,24,14.156749792890242,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,8,-43.128167808336734,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,0,17.803889422438687,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",25,0,-14.396342503483439,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,14.052508342141202,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,0,23.348644327308854,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",30,0,-82.95693945164314,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",30,20,9.074680949230034,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,0,-4.907075398002601,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",30,0,8.95255364812799,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,7,15.1791348824762,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,0,8.614876485725112,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",35,17,23.095366066405635,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,0,15.234467747693516,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,0,-1.756554114063473,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,13,10.46582351522378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,16,2.815639082255767,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",25,5,-24.441699589311142,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",30,22,16.20766309842711,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,0,22.499281570918278,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,0,-25.437158033503266,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,0,-58.37992286174763,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,14,-22.272601957461553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",35,9,21.260711865369224,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",30,23,12.854851292184222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",30,7,-23.950462106027846,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",30,3,-48.29367854324322,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 1}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",25,12,16.629569254508827,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,12,7.521087873586579,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",35,0,-51.98974603540398,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",35,0,7.033650766830879,"{0: 31, 1: 2, 2: 1, 3: 1, 4: 0}",0
